Localidades rurales que rebasan su municipio*,,,,,
* El rebase podría ser milimétrico en algunas localidades,,,,,
Localidad rural,,,,,
"MARCO GEOESTADÍSTICO, JUNIO 2018   ",,,,,
Clave concatenada,Clave de entidad,Clave de municipio,Clave de localidad,Nombre  de  localidad,Tipo
10110006,1,11,6,Borrotes,Rural
320240010,32,24,10,Ejido Hidalgo,Rural
320240008,32,24,8,Crisóstomos,Rural
20050025,2,5,25,Santa Anita,Rural
20030089,2,3,89,Paso del Águila,Rural
20030139,2,3,139,Valle de las Palmas,Rural
020030164,02,003,0164,Ejido Carmen Serdán,Rural
20050012,2,5,12,Campo Torres,Rural
20050225,2,5,225,Cumbre del Mar,Rural
20041961,2,4,1961,Ley del Servicio Civil,Rural
20041348,2,4,1348,Cuesta Blanca,Rural
30080048,3,8,48,Buenavista,Rural
40050003,4,5,3,Chunkanán,Rural
40042157,4,4,2157,Nuevo Michoacán,Rural
40091862,4,9,1862,Emiliano Zapata,Rural
40033781,4,3,3781,El Arca,Rural
40090131,4,9,131,La Esperanza,Rural
40040012,4,4,12,Profesor Graciano Sánchez,Rural
50140022,5,14,22,Santa María,Rural
50300211,5,30,211,San José de los Cerritos,Rural
190370026,19,37,26,Espinazo (Espinazo Nuevo León),Rural
50260006,5,26,6,San Alberto,Rural
50350187,5,35,187,Ricardo Flores Magón,Rural
50350174,5,35,174,Nuevo Mieleras (La Tres),Rural
50090003,5,9,3,Alamito,Rural
50330231,5,33,231,Presa de Guadalupe (Vida Nueva),Rural
50380025,5,38,25,La Maroma,Rural
50300079,5,30,79,Astillero,Rural
50240089,5,24,89,San José de la Unión,Rural
50240058,5,24,58,Notillas,Rural
50210002,5,21,2,Villa de Bucareli (La Villita),Rural
50210009,5,21,9,Nuevo Poblado de Sardinas,Rural
50170149,5,17,149,Rancho de Afuera,Rural
50170068,5,17,68,Corona,Rural
50170072,5,17,72,Las Palomas,Rural
50120021,5,12,21,Guadalupe,Rural
60030023,6,3,23,Nogueras,Rural
70030068,7,3,68,Jiquilpan (Estación Bonanza),Rural
70010038,7,1,38,El Tumbador,Rural
70320262,7,32,262,Ocho de Agosto,Rural
70510882,7,51,882,Francisco I. Madero,Rural
70590031,7,59,31,Santa María de las Flores,Rural
70520902,7,52,902,Victórico R. Grajales,Rural
70110003,7,11,3,Chemic,Rural
70100012,7,10,12,Reforma,Rural
70100004,7,10,4,El Cercadillo,Rural
70800010,7,80,10,Las Delicias,Rural
70490081,7,49,81,Chuchiltón Anexo Potobtic Dos,Rural
70460361,7,46,361,Llano Grande,Rural
70210038,7,21,38,Lázaro Cárdenas,Rural
70750036,7,75,36,San Mateo,Rural
71040110,7,104,110,Nueva Libertad,Rural
70520239,7,52,239,Plan de Agua Prieta,Rural
70990239,7,99,239,San Juan del Valle,Rural
70990221,7,99,221,San Caralampio Monte Pálido,Rural
70080025,7,8,25,Salvador Urbina,Rural
70380003,7,38,3,Carmen Yalchuch,Rural
70220032,7,22,32,Tzomoltón,Rural
70630008,7,63,8,Libertad Campesina,Rural
70340006,7,34,6,Benito Juárez,Rural
71000063,7,100,63,Arroyo Agua Azul,Rural
70590395,7,59,395,Jol Tulijá,Rural
71090233,7,109,233,El Recreo,Rural
70010159,7,1,159,Quince de Septiembre,Rural
70060044,7,6,44,Potrerillo,Rural
70550004,7,55,4,Candelaria,Rural
70780039,7,78,39,Yashitinín,Rural
70710221,7,71,221,Altamira Uno,Rural
70710231,7,71,231,San Miguel,Rural
70190088,7,19,88,El Prado,Rural
70520464,7,52,464,San Rafael,Rural
70520654,7,52,654,Nuevo Plan de Ayala,Rural
70250026,7,25,26,San Miguel Buenavista,Rural
70680099,7,68,99,Los Cascabeles,Rural
71080346,7,108,346,Josefa Ortiz de Domínguez,Rural
70130007,7,13,7,Allende Esquipulas,Rural
70140045,7,14,45,San Cayetano,Rural
70230012,7,23,12,Callejón,Rural
70030012,7,3,12,Consuelo Ulapa,Rural
70590204,7,59,204,San Quintín,Rural
70991044,7,99,1044,Nuevo Paraíso,Rural
70990472,7,99,472,José Castillo Tiélemans,Rural
70891018,7,89,1018,Dorados de Villa,Rural
70350089,7,35,89,Texcaltic,Rural
70230020,7,23,20,Chicumtantic,Rural
70890688,7,89,688,Vega de los Molinos,Rural
71030028,7,103,28,El Tarral,Rural
70650211,7,65,211,Augusto Gómez Villanueva,Rural
70651230,7,65,1230,Arroyo Jerusalén,Rural
71140058,7,114,58,Boca Lacantún,Rural
71160017,7,116,17,Quiringuicharo,Rural
71160003,7,116,3,Licenciado Adolfo López Mateos,Rural
71160015,7,116,15,Playón la Gloria,Rural
70790102,7,79,102,Tankah Pakbal,Rural
70160121,7,16,121,Cuauhtémoc,Rural
70160299,7,16,299,Cuauhtemoc Quemado,Rural
70310272,7,31,272,El Piñal,Rural
70590672,7,59,672,Nuevo Ojo de Agua,Rural
70810093,7,81,93,Las Mercedes Esperanza,Rural
70480034,7,48,34,El Triunfo 2da. Sección,Rural
70320149,7,32,149,Zacualpa Dos,Rural
70390195,7,39,195,Dieciocho de Abril,Rural
270040077,27,4,77,Corregidora Ortiz 2da. Sección,Rural
70230112,7,23,112,Rasién,Rural
70230026,7,23,26,Ichintón,Rural
70380013,7,38,13,Lázaro Cárdenas (Chilil),Rural
70070034,7,7,34,San Vicente la Piedra,Rural
70390048,7,39,48,El Ocotal,Rural
70220005,7,22,5,Joltealal,Rural
70450045,7,45,45,Jana 2da. Sección,Rural
70270017,7,27,17,Felipe Carrillo Puerto,Rural
70350099,7,35,99,Ignacio Zaragoza,Rural
70370137,7,37,137,Tepehuitz,Rural
71020003,7,102,3,Silvano Gatica,Rural
70330004,7,33,4,Azapac Amatal,Rural
70230041,7,23,41,Las Ollas,Rural
70380011,7,38,11,Jocosic,Rural
70780157,7,78,157,Campo Grande,Rural
70770516,7,77,516,Primero de Enero,Rural
70770264,7,77,264,Nueva Preciosa (Bulujib),Rural
71090030,7,109,30,Lázaro Cárdenas,Rural
70090752,7,9,752,Eben Ezer,Rural
70940013,7,94,13,Los Llanitos,Rural
70190026,7,19,26,Corrala,Rural
70410572,7,41,572,Santa Martha,Rural
70770094,7,77,94,El Tortuguero 1ra. Sección,Rural
70120306,7,12,306,La Libertad,Rural
70890094,7,89,94,Hermosillo,Rural
70550005,7,55,5,Los Hules,Rural
70570005,7,57,5,Nueva Independencia (Ampliación Calera),Rural
70830129,7,83,129,El Sabinal,Rural
70830129,7,83,129,El Sabinal,Rural
70830191,7,83,191,Miramar,Rural
70940016,7,94,16,Nuevo León,Rural
70070052,7,7,52,Benito Juárez,Rural
70750045,7,75,45,Zacualpa,Rural
71082321,7,108,2321,Nueva Esperanza,Rural
70310439,7,31,439,Tzajalá,Rural
70230065,7,23,65,La Ventana,Rural
71160013,7,116,13,Nuevo Paraíso,Rural
70520312,7,52,312,Santa Margarita Agua Azul,Rural
70520206,7,52,206,La Fortuna Gallo Giro,Rural
70520335,7,52,335,San Mateo Zapotal,Rural
70730007,7,73,7,Manzanillo Pinabeto,Rural
80110092,8,11,92,Maravillas,Rural
80540022,8,54,22,Campo Cincuenta y Cinco (La Cordovana),Rural
80060014,8,6,14,El Porvenir,Rural
80040004,8,4,4,San Guillermo (Santa Elena),Rural
80660233,8,66,233,Las Trojas,Rural
80620350,8,62,350,Ampliación Colonia Altamirano,Rural
80120025,8,12,25,Ranchería Guahuachérare,Rural
80200450,8,20,450,Guasachi,Rural
80380012,8,38,12,Colonia Esperanza,Rural
80210371,8,21,371,Colonia Terrazas,Rural
80540178,8,54,178,La Nueva Paz,Rural
80540047,8,54,47,Campo Ochenta y Cuatro,Rural
80450007,8,45,7,Estación Consuelo,Rural
80110138,8,11,138,Rancho Viejo,Rural
320290009,32,29,9,Colonia Veinte de Noviembre (Santa Ana),Rural
50090010,5,9,10,Buenavista de Arriba,Rural
100120026,10,12,26,La Mina (El Sarnoso),Rural
100120560,10,12,560,Dolores (La Borrega),Rural
100170028,10,17,28,Ojos Azules (Campo Alegre),Rural
50170072,5,17,72,Las Palomas,Rural
100060016,10,6,16,San Luis de Corea,Rural
100220003,10,22,3,Los Ángeles,Rural
100220009,10,22,9,La Joya,Rural
100010100,10,1,100,La Plazuela (El Rayo),Rural
100190173,10,19,173,Bajío de Vacas (Bajío de Atocha),Rural
100190135,10,19,135,Macho Bayo,Rural
100140005,10,14,5,La Joya de Atotonilco (Atotonilco),Rural
100190135,10,19,135,Macho Bayo,Rural
250050065,25,5,65,Higuera Larga,Rural
100130177,10,13,177,Estación Yermo,Rural
100070302,10,7,302,El Barro 33 (El Treinta y Tres),Rural
100160047,10,16,47,Revolución Social,Rural
100010127,10,1,127,La Soledad,Rural
110160017,11,16,17,Paso de Carretas,Rural
110140729,11,14,729,La Luz,Rural
110090012,11,9,12,Guadalupe (San Antonio de Guadalupe),Rural
110110050,11,11,50,Santa Fe de la Purísima,Rural
110190073,11,19,73,El Rosario,Rural
160310075,16,31,75,Fracción Salitrillo [Ejido Nuevo Coroneo],Rural
110320152,11,32,152,Fátima,Rural
110290083,11,29,83,Ranchito de los Hernández,Rural
110010040,11,1,40,Las Estacas,Rural
110150261,11,15,261,Cerrito Frío,Rural
110260424,11,26,424,El Tejamanil,Rural
110270151,11,27,151,Sotelo,Rural
110370227,11,37,227,Mangas de la Estancia,Rural
110370089,11,37,89,El Refugio de los Sauces,Rural
110260446,11,26,446,Fraccionamiento Campestre Lomas del Sur,Rural
110410061,11,41,61,Bugambilia,Rural
110170547,11,17,547,El Capulín de Yóstiro,Rural
110200409,11,20,409,Puerta del Cerro,Rural
110201384,11,20,1384,Fraccionamiento Campestre Lomas del Sur,Rural
110170154,11,17,154,San Juan Temascatío,Rural
110350008,11,35,8,El Carmen de Arriba,Rural
110420113,11,42,113,San Manuel Quiriceo,Rural
110390026,11,39,26,Panales Jamaica (Cañones),Rural
110020056,11,2,56,Providencia de San Agustín,Rural
110140674,11,14,674,Carboneras,Rural
110220244,11,22,244,San José del Carmen Sur,Rural
110200410,11,20,410,Puerta de San Germán (Morelos),Rural
110200424,11,20,424,San José del Resplandor (El Capricho),Rural
110080035,11,8,35,Charco Prieto,Rural
110130032,11,13,32,Morisquillas,Rural
110430076,11,43,76,Salitrera,Rural
110070078,11,7,78,Los Aguirre,Rural
