Localidades urbanas que rebasan su municipio*,,,,,
* El rebase podría ser milimétrico en algunas localidades,,,,,
Localidad urbana,,,,,
"MARCO GEOESTADÍSTICO, JUNIO 2018   ",,,,,
Clave concatenada,Clave de entidad,Clave de municipio,Clave de localidad,Nombre  de  localidad,Tipo
102390239,1,1,239,General José María Morelos y Pavón (Cañada Honda),Urbana
500010001,5,35,1,Torreón,Urbana
706220622,7,27,622,Jardínes del Grijalva,Urbana
800010001,8,19,1,Chihuahua,Urbana
900260026,9,11,26,Santa Catarina Yecahuitzotl,Urbana
1200010001,12,1,1,Acapulco de Juárez,Urbana
1200010001,12,17,1,Cocula,Urbana
1200010001,12,75,1,Zumpango del Río,Urbana
1300080008,13,10,8,Tlamaco (San Gerónimo Tlamaco),Urbana
1300010001,13,41,1,Mixquiahuala de Juárez,Urbana
1300010001,13,50,1,Progreso de Obregón,Urbana
1300920092,13,51,92,Bosques del Mineral,Urbana
1301230123,13,51,123,Privada Quinta Bonita,Urbana
1301320132,13,51,132,Rincones del Paraíso,Urbana
1301410141,13,51,141,Tulipanes,Urbana
1500010001,15,13,1,Ciudad López Mateos,Urbana
1500010001,15,28,1,Chiautla,Urbana
1500010001,15,30,1,Chiconcuac de Juárez,Urbana
1500010001,15,33,1,Ecatepec de Morelos,Urbana
1500050005,15,53,5,San Francisco Tenopalco,Urbana
1500350035,15,54,35,San Gaspar Tlahuelilpan,Urbana
1500010001,15,57,1,Naucalpan de Juárez,Urbana
1500190019,15,65,19,Santiago Tolman,Urbana
1500190019,15,81,19,Ojo de Agua,Urbana
1500010001,15,104,1,Tlalnepantla,Urbana
1501050105,15,104,105,Puerto Escondido (Tepeolulco Puerto Escondido),Urbana
1500250025,15,109,25,San Pablo de las Salinas,Urbana
1501980198,15,120,198,Paseos de San Juan,Urbana
1600010001,16,20,1,Cuitzeo del Porvenir,Urbana
1900010001,19,26,1,Guadalupe,Urbana
1900010001,19,39,1,Monterrey,Urbana
2000100010,20,427,10,Rincón Viejo,Urbana
2501560156,25,1,156,Gustavo Díaz Ordaz (El Carrizo),Urbana
2503480348,25,12,348,Villa Unión,Urbana
3000010001,30,87,1,Xalapa-Enríquez,Urbana
3000010001,30,173,1,Tezonapa,Urbana
3200010001,32,17,1,Guadalupe,Urbana
3200010001,32,56,1,Zacatecas,Urbana
